id,announceForRole,description,attachments,title,channels,comments,citizenReactions,authorityId,departmentId
cm73scnug0000u6n07o5yq6yz,"[""ADMINISTRATOR"",""DEPARTMENT_OFFICER"",""DEPARTMENT_HEAD"",""CITIZEN"",""DISTRICT_MAGISTRATE"",""COMMISSIONER"",""FIELD_WORKER"",""PANCHAYAT_OFFICER"",""NAGAR_SEVAK""]",स्वच्छ भारत मिशन का उद्देश्य पूरे देश में स्वच्छता के स्तर को बढ़ाना है। सभी नागरिकों से अपील की जाती है कि वे स्वच्छता बनाए रखें और खुले में शौच न करें।,[],स्वच्छ भारत मिशन,[],"{""user1"": ""बहुत अच्छी पहल!","{""likes"": 1500, ""shares"": 300, ""comments"": 250}",cm7258yuf000gu64gokr3oqbz,
cm73scnw20001u6n0msllqcvp,"[""DEPARTMENT_OFFICER"",""CITIZEN"",""ADMINISTRATOR"",""DISTRICT_MAGISTRATE"",""DEPARTMENT_HEAD"",""PANCHAYAT_OFFICER"",""COMMISSIONER""]",The government has launched the Pradhan Mantri Gramin Awas Yojana to provide affordable housing to the rural poor. Eligible families will receive financial assistance to build pucca houses.,[],Pradhan Mantri Gramin Awas Yojana,[],"{""user1"": ""Great initiative for rural development.","{""likes"": 1200, ""shares"": 250, ""comments"": 200}",cm7258yuf000gu64gokr3oqbz,
cm73scnx80002u6n0woknkoj9,"[""PANCHAYAT_OFFICER"",""DEPARTMENT_OFFICER"",""BLOCK_OFFICER"",""DEPARTMENT_HEAD"",""NAGAR_SEVAK"",""CITIZEN""]","PM Gati Shakti योजना के माध्यम से, सरकार मल्टी-मॉडल कनेक्टिविटी में सुधार कर रही है, जिससे परिवहन और लॉजिस्टिक्स में दक्षता बढ़ेगी।",[],PM Gati Shakti,[],"{""user1"": ""उद्योगों के लिए लाभकारी योजना।","{""likes"": 900, ""shares"": 180, ""comments"": 150}",cm7258yuf000gu64gokr3oqbz,
cm73scny60003u6n0qmvpxoru,"[""CITIZEN"",""NAGAR_SEVAK"",""ADMINISTRATOR""]",The government mandates the use of locally-made solar cells in clean energy projects from June 2026 to boost domestic manufacturing and reduce reliance on imports.,[],Solar Cell Manufacturing Policy,[],"{""user1"": ""This will strengthen local industries.","{""likes"": 1100, ""shares"": 220, ""comments"": 180}",cm7258yuf000gu64gokr3oqbz,
cm73scnz00004u6n0j7nuzm97,"[""DISTRICT_MAGISTRATE"",""DEPARTMENT_OFFICER""]","सरकार ने क्षेत्रीय ग्रामीण बैंकों के विलय का प्रस्ताव रखा है, जिससे उनकी संख्या 43 से घटकर 28 हो जाएगी। इससे उनकी पूंजी आधार मजबूत होगी और ग्रामीण क्षेत्रों में बेहतर बैंकिंग सेवाएं मिलेंगी।",[],Regional Rural Banks Merger,[],"{""user1"": ""ग्रामीण बैंकिंग के लिए अच्छा कदम।","{""likes"": 800, ""shares"": 160, ""comments"": 130}",cm7258yuf000gu64gokr3oqbz,
cm73scnzx0005u6n0095xddna,"[""DEPARTMENT_OFFICER"",""COMMISSIONER"",""PANCHAYAT_OFFICER"",""CITIZEN""]","The government has banned the use of black gowns and mortarboards in state-owned medical college graduation ceremonies, promoting traditional Indian attire instead.",[],Graduation Ceremony Dress Code Change,[],"{""user1"": ""A move to embrace our culture.","{""likes"": 700, ""shares"": 140, ""comments"": 120}",cm7258yuf000gu64gokr3oqbz,
cm73sco0w0006u6n0wc7vrdzq,"[""DEPARTMENT_OFFICER"",""NAGAR_SEVAK"",""FIELD_WORKER"",""DISTRICT_MAGISTRATE"",""DEPARTMENT_HEAD"",""CITIZEN"",""ADMINISTRATOR"",""COMMISSIONER"",""BLOCK_OFFICER"",""PANCHAYAT_OFFICER""]","सरकार ने संघीय सरकारी कर्मचारियों के लिए एक आश्वासित पेंशन योजना को मंजूरी दी है, जिसमें सेवानिवृत्ति के बाद उनके अंतिम वेतन का 50% पेंशन के रूप में मिलेगा। यह योजना 1 अप्रैल 2025 से लागू होगी।",[],Assured Pension Scheme,[],"{""user1"": ""सरकारी कर्मचारियों के लिए राहत भरी खबर।","{""likes"": 1300, ""shares"": 260, ""comments"": 220}",cm7258yuf000gu64gokr3oqbz,
cm73sco1w0007u6n0f2xjdint,"[""FIELD_WORKER"",""DEPARTMENT_OFFICER""]","The government has reduced the windfall tax on petroleum crude from ₹4,600 per metric ton to ₹2,100 per metric ton, effective from August 17, 2024.",[],Windfall Tax Reduction,[],"{""user1"": ""This will benefit the oil industry.","{""likes"": 600, ""shares"": 120, ""comments"": 100}",cm7258yuf000gu64gokr3oqbz,
cm73sco300008u6n0yk40zaej,"[""FIELD_WORKER"",""CITIZEN"",""NAGAR_SEVAK"",""DEPARTMENT_OFFICER"",""DEPARTMENT_HEAD"",""BLOCK_OFFICER""]","बजट 2025-26 में, सरकार ने मध्यम वर्ग के लिए आयकर दरों में कटौती की है और निजी निवेश को बढ़ावा देने के लिए उपाय किए हैं। हालांकि, आर्थिक वृद्धि की गति पिछले चार वर्षों में सबसे धीमी रहने की उम्मीद है।",[],Budget 2025-26 Highlights,[],"{""user1"": ""आयकर में कटौती से राहत मिलेगी।","{""likes"": 1400, ""shares"": 280, ""comments"": 240}",cm7258yuf000gu64gokr3oqbz,
cm73sco3u0009u6n0vwxa310a,"[""FIELD_WORKER"",""DISTRICT_MAGISTRATE"",""COMMISSIONER"",""BLOCK_OFFICER"",""NAGAR_SEVAK"",""PANCHAYAT_OFFICER""]","राज्य सरकार ने किसानों के लिए नई ऋण माफी योजना की घोषणा की है, जिससे 10 लाख किसानों को लाभ होगा।",[],किसान ऋण माफी योजना,[],"[""यह एक स्वागत योग्य कदम है।""]","[""धन्यवाद सरकार!""]",cm7258yuf000gu64gokr3oqbz,
