id,title,complaint,complaintType,category,subcategory,estimatedResolutionTime,status,urgencyLevel,priorityLevel,isAnonymous,economicImpact,socialImpact,emotion,estimated,ResolutionTime,relatedPolicies,timestamp,lastUpdatedDate,submissionDate,currentLevel,escalationHistory,assignedAuthorities,resolutionPath,environmentalImpact,userId,departmentId,locationId
cm725esr70002u6o4kqv2r4e0,Water Supply Issue in Gorakhpur,There has been no water supply for over two days. We are facing severe issues with daily cleaning and drinking water. The authorities are not responding to our complaints.,Water Supply,Infrastructure,Water Distribution,9,In Progress,High,MEDIUM,false,Medium - Families spending extra money on private water tankers,High - Affecting daily lives of hundreds of families in the area,Disappointment,,,"['UP Jal Nigam Regulations', 'Water Supply Management Act']",2025-02-12 16:51:47.347,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Low - Minor impact on local vegetation,cm725espe0000u6o40tsgshuf,cm725dfx50000u6h4y67rc83j,cm725esqh0001u6o4fqh45cks
cm725esvi0005u6o49asiyev5,Electricity Issue in Jhansi,"The electricity bills are too high, and the power cuts are frequent. Even during peak hours, the power supply is cut off without any prior notice.",Electricity,Utilities,Power Distribution,8,In Progress,High,MEDIUM,false,High - Business losses and additional expenses on generators,High - Disrupting business operations and daily activities,Frustration,,,"['UP Electricity Regulatory Commission Guidelines', 'Power Distribution Policy']",2025-02-12 16:51:47.502,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Medium - Increased generator usage causing pollution,cm725esuf0003u6o4xgsfqsck,cm725dg0e0001u6h4by5yx0yk,cm725esv10004u6o4nrb8jenq
cm725esyi0008u6o4il55k1vl,Garbage Issue in Hapur,"The garbage collection is irregular, and the heaps of waste are rotting in public places. This is affecting the cleanliness and health of the locality.",Garbage,Sanitation,Waste Management,2,Open,High,MEDIUM,false,Medium - Increased healthcare costs due to diseases,High - Affecting public health and hygiene,Anger,,,"['Municipal Solid Waste Management Rules', 'Public Health Act']",2025-02-12 16:51:47.61,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,High - Pollution and contamination of local environment,cm725esxi0006u6o498e39glu,cm725dg1z0002u6h4amagnkym,cm725esy40007u6o4pts07jzj
cm725et2a000bu6o42lyfr3fm,Roads Issue in Prayagraj,"The roads are filled with potholes, and it's becoming dangerous to drive. Accidents are increasing due to the poor condition of the streets, and there is no repair work being done.",Roads,Infrastructure,Road Maintenance,28,Open,High,MEDIUM,false,Medium - Vehicle repair costs and delays,High - Increased accidents and injuries,Irritation,,,"['Public Works Department Guidelines', 'Road Safety Act']",2025-02-12 16:51:47.747,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Low - Minor impact on local environment,cm725et130009u6o45e2rnkk7,cm725dg3k0003u6h4e8f3kb9h,cm725et1r000au6o461525sgr
cm725et5e000eu6o4w6ehnvx7,Public Transport Issue in Aligarh,"The public buses are unreliable and overcrowded. They often don’t follow schedules, leaving people stranded for long hours, especially during rush hour.",Public Transport,Transport,Public Transport,13,Open,Medium,MEDIUM,false,Medium - Increased expenses on alternative transport,High - Affecting daily commute and productivity,Annoyance,,,"['Public Transport Regulations', 'Urban Transport Policy']",2025-02-12 16:51:47.858,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Low - Minor impact on local environment,cm725et4a000cu6o41zd7iqyb,cm725dg560004u6h4g36ue2gh,cm725et51000du6o4rp1yurpc
cm725et86000hu6o4vac3xrz8,Health Services Issue in Agra,"The government hospital lacks proper sanitation, and patients often wait for hours to be attended to. The hospital staff is overworked and seems to be in constant shortage.",Health Services,Healthcare,Hospital Management,28,In Progress,High,MEDIUM,false,Medium - Increased healthcare costs,High - Affecting public health and well-being,Concern,,,"['Public Health Act', 'Hospital Management Guidelines']",2025-02-12 16:51:47.959,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Low - Minor impact on local environment,cm725et78000fu6o4prqzrin9,cm725dg6o0005u6h4jkjbkawz,cm725et7w000gu6o4qbwgpetj
cm725etb6000ku6o4gneo8tew,Police & Law Issue in Moradabad,"The police seem uninterested in solving local crimes. Even after repeated complaints, the authorities have not taken any serious action against local criminals.",Police & Law,Law & Order,Crime Management,16,In Progress,High,MEDIUM,false,Medium - Losses due to theft and crime,High - Increased crime and insecurity,Frustration,,,"['Police Act', 'Criminal Procedure Code']",2025-02-12 16:51:48.066,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Low - Minor impact on local environment,cm725eta6000iu6o4qzg92zul,cm725dg830006u6h44jyrjmcn,cm725etau000ju6o4ic1ay0tr
cm725etdy000nu6o4m107d8bj,Education Issue in Fatehpur,"Schools in our area are facing a severe shortage of teachers, and classes are often merged, causing disruptions. The government must improve the education system urgently.",Education,Education,School Management,9,In Progress,High,MEDIUM,false,Medium - Increased expenses on private tuition,High - Affecting quality of education,Concern,,,"['Education Act', 'Teacher Recruitment Policy']",2025-02-12 16:51:48.166,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Low - Minor impact on local environment,cm725etd4000lu6o4yat6nk7i,cm725dg9j0007u6h4tzh2udh2,cm725etdl000mu6o4ydxjcjsy
cm725eth3000qu6o4kihehwj3,Water Supply Issue in Saharanpur,"We have to rely on tanker services for water, and even then, the supply is irregular. The authorities need to fix the local water system immediately.",Water Supply,Infrastructure,Water Distribution,24,Open,High,MEDIUM,false,Medium - Families spending extra money on private water tankers,High - Affecting daily lives of hundreds of families in the area,Frustration,,,"['UP Jal Nigam Regulations', 'Water Supply Management Act']",2025-02-12 16:51:48.279,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Low - Minor impact on local vegetation,cm725etg4000ou6o4rl07ye6a,cm725dfx50000u6h4y67rc83j,cm725etgs000pu6o4a663x00i
cm725etko000tu6o4vltxdy7o,Electricity Issue in Bijnor,"The electric supply in our area is very unstable. During the day, we experience frequent power fluctuations, and during the night, power cuts are a common issue.",Electricity,Utilities,Power Distribution,4,In Progress,High,MEDIUM,false,High - Business losses and additional expenses on generators,High - Disrupting business operations and daily activities,Disappointment,,,"['UP Electricity Regulatory Commission Guidelines', 'Power Distribution Policy']",2025-02-12 16:51:48.408,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Medium - Increased generator usage causing pollution,cm725etjv000ru6o4daczpuqa,cm725dg0e0001u6h4by5yx0yk,cm725etke000su6o4tjv5pnkc
